Year,Quarter,Medium,Incident Type,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Utilities,Grand Total
2020,3,Non-cyber,Alteration of personal data,1,,,,,,,,,,,,,,,,,,,,,1
2020,3,Non-cyber,Data emailed to incorrect recipient,9,25,51,32,18,72,2,34,53,35,1,1,5,3,3,1,3,23,12,7,2,392
2020,3,Non-cyber,Data of wrong data subject shown in client portal,,2,3,4,5,6,,1,3,,,,,2,,,,3,,2,,31
2020,3,Non-cyber,Data posted or faxed to incorrect recipient,16,6,18,39,5,61,5,11,31,43,,1,,,,,1,12,2,1,2,254
2020,3,Non-cyber,Failure to redact,11,6,15,3,3,18,6,3,9,25,,,,,,1,,5,,1,,106
2020,3,Non-cyber,Failure to use bcc,1,9,18,2,6,9,2,3,,8,,1,1,1,1,,,9,1,,1,73
2020,3,Non-cyber,Incorrect disposal of paperwork,,,,,,2,,,,,,,,,,,,1,,,,3
2020,3,Non-cyber,Loss/theft of device containing personal data,1,4,11,4,,8,3,,3,1,,,,,,,,2,1,2,,40
2020,3,Non-cyber,Loss/theft of paperwork or data left in insecure location,11,14,30,8,9,45,6,3,10,13,,,1,,,2,2,5,7,2,,168
2020,3,Non-cyber,Not Provided,5,5,5,4,3,14,,4,6,2,,1,2,2,,1,,2,1,1,1,59
2020,3,Non-cyber,Other non-cyber incident,17,22,86,27,15,92,15,21,10,56,2,,4,13,2,,1,38,21,11,4,457
2020,3,Non-cyber,Verbal disclosure of personal data,1,6,17,5,2,16,1,2,1,7,,,1,,,,1,3,2,,3,68
2020,3,Cyber,Brute Force,,1,,2,1,,,,1,,,,,2,,,,5,,,1,13
2020,3,Cyber,Denial of service,,1,,,1,,,,,,,,,,,,,,,,,2
2020,3,Cyber,Hardware/software misconfiguration,1,1,5,,,1,,2,1,2,,,,6,,,,2,,1,,22
2020,3,Cyber,Malware,1,4,2,3,,,,2,,,,2,,,,,,9,,1,,24
2020,3,Cyber,Other cyber incident,1,3,9,9,6,3,1,,1,1,1,1,1,8,,,,18,,,,63
2020,3,Cyber,Phishing,1,11,26,40,15,15,,12,31,4,,2,6,4,,,3,32,6,5,2,215
2020,3,Cyber,Ransomware,4,6,12,13,11,10,1,6,8,1,2,,,13,,2,,43,1,5,3,141
2020,3,Cyber,Unauthorised access,2,8,11,20,16,64,3,5,10,10,,1,4,10,,,1,37,8,6,2,218
