Year,Quarter,Medium,INCIDENT TYPE,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Utilities,Grand Total
2019,4,Cyber,Brute Force,,1,2,1,1,,,1,,,,1,1,1,,,,4,,,,13
2019,4,Cyber,Hardware/software misconfiguration,1,1,3,3,8,2,,1,,4,1,1,,1,,,1,6,,,,33
2019,4,Cyber,Malware,,,3,2,1,1,,3,1,1,1,,,,,,,5,,,,18
2019,4,Cyber,Other cyber incident,1,1,7,11,9,1,,5,2,1,,1,2,5,,,1,20,,5,2,74
2019,4,Cyber,Phishing,,21,43,38,46,11,,20,21,4,2,1,3,8,2,2,4,30,6,17,1,280
2019,4,Cyber,Ransomware,,2,9,8,5,1,,1,3,1,,1,2,2,,,1,21,,2,1,60
2019,4,Cyber,Unauthorised access,2,8,26,14,14,42,1,8,6,14,,3,1,6,,,,17,1,11,1,175
2019,4,Non-cyber,Alteration of personal data,1,,,,,,,1,,,,,,,,,,,,1,,3
2019,4,Non-cyber,Data emailed to incorrect recipient,5,14,49,45,31,39,7,21,57,23,4,,2,4,,1,3,14,7,6,5,337
2019,4,Non-cyber,Data of wrong data subject shown in client portal,,,,3,1,4,,1,1,,,,,,,,,,1,,,11
2019,4,Non-cyber,Data posted or faxed to incorrect recipient,8,5,17,52,12,55,4,8,41,42,,,,3,,1,,7,4,4,2,265
2019,4,Non-cyber,Denial of service,,,,,,,,,,,,,,,,,,1,,,,1
2019,4,Non-cyber,Failure to redact,3,1,14,3,5,4,12,3,15,23,1,,3,,,1,1,3,2,3,,97
2019,4,Non-cyber,Failure to use bcc,2,4,26,5,7,13,,1,5,8,1,,8,,,,1,8,1,7,,97
2019,4,Non-cyber,Incorrect disposal of hardware,,1,,,,,,,,,,,,,,,,,,,,1
2019,4,Non-cyber,Incorrect disposal of paperwork,,1,2,1,,,,,,,,,,,,,,,1,,,5
2019,4,Non-cyber,Loss/theft of device containing personal data,1,7,38,5,7,9,6,6,11,7,1,2,2,1,,,,4,2,1,,110
2019,4,Non-cyber,Loss/theft of paperwork or data left in insecure location,4,11,33,11,7,59,4,4,30,13,,1,5,1,,1,1,8,14,6,,213
2019,4,Non-cyber,Not Provided,2,3,10,2,2,11,1,1,5,5,,,,3,,,,2,1,2,,50
2019,4,Non-cyber,Other non-cyber incident,22,26,85,67,60,148,21,32,40,81,2,2,10,12,1,,5,58,19,22,5,718
2019,4,Non-cyber,Verbal disclosure of personal data,1,5,3,6,6,19,2,6,1,9,,,1,,1,,,3,1,4,,68
