Year,Quarter,Medium,Incident Type,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Utilities,Grand Total
2019,2,Non-Cyber,Alteration of personal data,,,,,1,7,1,,,,,,,,,,,1,,,1,11
2019,2,Non-Cyber,Data emailed to incorrect recipient,8,7,38,72,46,41,3,15,56,26,,1,2,3,,,1,3,7,8,8,345
2019,2,Non-Cyber,Data of wrong data subject shown in client portal,,1,1,8,6,7,,1,3,,,,,2,,,,2,,2,,33
2019,2,Non-Cyber,Data posted or faxed to incorrect recipient,65,8,26,49,22,93,5,8,35,53,1,,4,6,,,,,3,2,4,384
2019,2,Non-Cyber,Failure to redact,8,,10,1,4,10,6,3,4,20,,,2,,,1,,1,1,3,1,75
2019,2,Non-Cyber,Failure to use bcc,2,7,7,1,15,11,1,5,4,13,1,,4,1,,,,8,,3,,83
2019,2,Non-Cyber,Incorrect disposal of hardware,,,2,,,,,,,,,,,,,,,,,,,2
2019,2,Non-Cyber,Incorrect disposal of paperwork,2,,3,1,1,5,,,,,,,,,,,,1,1,,,14
2019,2,Non-Cyber,Loss/theft of device containing personal data,2,4,21,9,15,9,5,1,8,5,,,,1,,,1,3,4,,1,89
2019,2,Non-Cyber,Loss/theft of paperwork or data left in insecure location,11,23,35,12,35,82,14,12,25,19,,1,3,1,1,1,1,6,15,10,,307
2019,2,Non-Cyber,Not Provided,4,3,21,12,39,26,3,,11,10,,,,2,1,,,4,1,4,1,142
2019,2,Non-Cyber,Other non-cyber incident,21,37,104,74,132,233,22,41,33,77,2,5,12,17,2,,2,23,26,19,6,888
2019,2,Non-Cyber,Verbal disclosure of personal data,5,,3,1,8,21,1,5,,12,,,,2,,,,1,2,1,6,68
2019,2,Cyber,Brute Force,,1,,,1,1,,,1,,,,,,,,,1,,,,5
2019,2,Cyber,Hardware/software misconfiguration,,1,,2,4,5,,,,,,,,1,,,,,,,,13
2019,2,Cyber,Malware,,,4,,2,,,,3,1,,,,1,,,,9,,,,20
2019,2,Cyber,Other cyber incident,,3,4,5,12,4,,,2,,,,,4,,,,9,1,2,,46
2019,2,Cyber,Phishing,,8,23,39,105,17,,21,21,4,1,1,1,11,,1,1,27,3,12,4,300
2019,2,Cyber,Ransomware,,2,7,,15,7,,4,,,,,1,1,,,,1,,1,,39
2019,2,Cyber,Unauthorised access,1,3,13,12,29,12,1,4,8,4,,,1,10,,,,13,1,7,1,120
